"2017-06-22 13:41:41","ajp-nio-8889-exec-5 | u:admin","0.769","Load Work Item for editing","drivepilot/DP-487 (null, 91)"
"2017-06-22 13:41:50","ajp-nio-8889-exec-6 | u:admin","1.084","Save Work Item","drivepilot/DP-487 (null, 91)"
"2017-06-22 13:41:51","ajp-nio-8889-exec-9 | u:admin","0.033","Load Work Item for editing","drivepilot/DP-487 (null, 92)"
"2017-06-22 13:42:00","ajp-nio-8889-exec-10 | u:admin","0.770","Save Work Item","drivepilot/DP-487 (null, 92)"
"2017-06-22 13:42:00","ajp-nio-8889-exec-2 | u:admin","0.036","Load Work Item for editing","drivepilot/DP-487 (null, 93)"
