"2017-06-22 15:03:48","ajp-nio-8889-exec-6 | u:admin","1.881","Save Work Item","drivepilot/DP-488 (null, 95)"
"2017-06-22 15:03:50","ajp-nio-8889-exec-9 | u:admin","0.042","Load Work Item for editing","drivepilot/DP-488 (null, 96)"
"2017-06-22 15:04:16","ajp-nio-8889-exec-10 | u:admin","0.081","Load Work Item for preview","drivepilot/DP-482 (null, 78)"
"2017-06-22 15:04:17","ajp-nio-8889-exec-2 | u:admin","0.039","Load Work Item for editing","drivepilot/DP-482 (null, 78)"
"2017-06-22 15:04:24","ajp-nio-8889-exec-3 | u:admin","0.888","Save Work Item","drivepilot/DP-482 (null, 78)"
"2017-06-22 15:04:25","ajp-nio-8889-exec-5 | u:admin","0.029","Load Work Item for editing","drivepilot/DP-482 (null, 97)"
"2017-06-22 15:04:30","ajp-nio-8889-exec-7 | u:admin","0.782","Save Work Item","drivepilot/DP-482 (null, 97)"
