"2017-06-26 16:47:39","ajp-nio-8889-exec-6 | u:admin","2.751","Save Work Item","drivepilot/DP-484 (null, 242)"
"2017-06-26 16:47:41","ajp-nio-8889-exec-9 | u:admin","0.038","Load Work Item for editing","drivepilot/DP-484 (null, 243)"
"2017-06-26 16:47:48","ajp-nio-8889-exec-10 | u:admin","2.136","Save Work Item","drivepilot/DP-484 (null, 243)"
"2017-06-26 16:47:49","ajp-nio-8889-exec-3 | u:admin","0.034","Load Work Item for editing","drivepilot/DP-484 (null, 244)"
"2017-06-26 16:47:52","ajp-nio-8889-exec-4 | u:admin","0.027","Load Work Item for preview","drivepilot/DP-505 (null, 244)"
"2017-06-26 16:47:53","ajp-nio-8889-exec-6 | u:admin","0.019","Load Work Item for preview","drivepilot/DP-484 (null, 244)"
"2017-06-26 16:47:54","ajp-nio-8889-exec-7 | u:admin","0.027","Load Work Item for editing","drivepilot/DP-484 (null, 244)"
"2017-06-26 16:53:11","ajp-nio-8889-exec-9 | u:admin","0.887","Save Work Item","drivepilot/DP-484 (null, 244)"
"2017-06-26 16:53:12","ajp-nio-8889-exec-1 | u:admin","0.027","Load Work Item for editing","drivepilot/DP-484 (null, 245)"
"2017-06-26 16:53:51","ajp-nio-8889-exec-5 | u:admin","1.058","Save Work Item","drivepilot/DP-484 (null, 245)"
"2017-06-26 16:54:31","ajp-nio-8889-exec-8 | u:admin","0.025","Load Work Item for editing","drivepilot/DP-484 (null, 246)"
"2017-06-26 16:57:07","ajp-nio-8889-exec-9 | u:admin","0.860","Save Work Item","drivepilot/DP-484 (null, 246)"
"2017-06-26 16:57:08","ajp-nio-8889-exec-1 | u:admin","0.032","Load Work Item for editing","drivepilot/DP-484 (null, 247)"
"2017-06-26 16:57:12","ajp-nio-8889-exec-3 | u:admin","1.098","Save Work Item","drivepilot/DP-484 (null, 247)"
"2017-06-26 16:57:18","ajp-nio-8889-exec-6 | u:admin","0.030","Load Work Item for editing","drivepilot/DP-484 (null, 248)"
"2017-06-26 16:57:19","ajp-nio-8889-exec-7 | u:admin","0.020","Load Work Item for preview","drivepilot/DP-508 (null, 248)"
"2017-06-26 16:57:20","ajp-nio-8889-exec-9 | u:admin","0.021","Load Work Item for editing","drivepilot/DP-508 (null, 248)"
"2017-06-26 16:57:23","ajp-nio-8889-exec-10 | u:admin","0.017","Load Work Item for preview","drivepilot/DP-484 (null, 248)"
"2017-06-26 16:57:26","ajp-nio-8889-exec-2 | u:admin","0.014","Load Work Item for preview","drivepilot/DP-508 (null, 248)"
"2017-06-26 16:57:27","ajp-nio-8889-exec-4 | u:admin","0.020","Load Work Item for preview","drivepilot/DP-484 (null, 248)"
"2017-06-26 16:57:28","ajp-nio-8889-exec-5 | u:admin","0.021","Load Work Item for editing","drivepilot/DP-484 (null, 248)"
"2017-06-26 16:58:30","ajp-nio-8889-exec-7 | u:admin","0.843","Save Work Item","drivepilot/DP-484 (null, 248)"
"2017-06-26 16:58:31","ajp-nio-8889-exec-10 | u:admin","0.023","Load Work Item for editing","drivepilot/DP-484 (null, 249)"
"2017-06-26 16:58:36","ajp-nio-8889-exec-1 | u:admin","1.878","Save Work Item","drivepilot/DP-484 (null, 249)"
"2017-06-26 16:58:39","ajp-nio-8889-exec-4 | u:admin","0.022","Load Work Item for editing","drivepilot/DP-484 (null, 250)"
