"2017-06-26 17:39:51","ajp-nio-8889-exec-5 | u:admin","0.923","Load Work Item for editing","drivepilot/DP-488 (null, 272)"
"2017-06-26 17:39:57","ajp-nio-8889-exec-6 | u:admin","1.119","Save Work Item","drivepilot/DP-488 (null, 272)"
"2017-06-26 17:39:58","ajp-nio-8889-exec-8 | u:admin","0.046","Load Work Item for editing","drivepilot/DP-488 (null, 273)"
"2017-06-26 17:41:16","ajp-nio-8889-exec-10 | u:admin","75.525","Save Work Item","drivepilot/DP-488 (null, 273)"
"2017-06-26 17:41:18","ajp-nio-8889-exec-3 | u:admin","0.035","Load Work Item for editing","drivepilot/DP-488 (null, 274)"
