"2017-06-22 16:44:04","ajp-nio-8889-exec-6 | u:admin","1.690","Save Work Item","drivepilot/DP-489 (null, 112)"
"2017-06-22 16:44:05","ajp-nio-8889-exec-9 | u:admin","0.047","Load Work Item for editing","drivepilot/DP-489 (null, 113)"
"2017-06-22 16:44:07","ajp-nio-8889-exec-3 | u:admin","0.021","Load Work Item for preview","drivepilot/DP-489 (null, 113)"
"2017-06-22 16:44:08","ajp-nio-8889-exec-5 | u:admin","0.040","Load Work Item for editing","drivepilot/DP-489 (null, 113)"
"2017-06-22 16:44:13","ajp-nio-8889-exec-7 | u:admin","0.873","Save Work Item","drivepilot/DP-489 (null, 113)"
"2017-06-22 16:44:14","ajp-nio-8889-exec-10 | u:admin","0.029","Load Work Item for editing","drivepilot/DP-489 (null, 114)"
