"2017-06-21 15:04:06","ajp-nio-8889-exec-4 | u:admin","0.099","Render Widget for editor","CAPA/_default/PieChart (null, 10)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:04:12","ajp-nio-8889-exec-7 | u:admin","2.645","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:04:12","ajp-nio-8889-exec-6 | u:admin","0.087","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:04:30","ajp-nio-8889-exec-2 | u:admin | uri:/polarion/wiki/bin/view/page/Home","0.201","Load Wiki Page","/_default/Home (1)"
"2017-06-21 15:15:35","ajp-nio-8889-exec-5 | u:admin","0.014","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:15:35","ajp-nio-8889-exec-1 | u:admin","0.145","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:16:36","ajp-nio-8889-exec-8 | u:admin","0.014","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:16:37","ajp-nio-8889-exec-3 | u:admin","0.150","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:17:42","ajp-nio-8889-exec-9 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:17:42","ajp-nio-8889-exec-7 | u:admin","0.136","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:20:02","ajp-nio-8889-exec-6 | u:admin","0.013","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:20:03","ajp-nio-8889-exec-5 | u:admin","0.142","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
"2017-06-21 15:20:32","ajp-nio-8889-exec-4 | u:admin","0.012","Load Rich Page for preview","CAPA/_default/PieChart (null, 13)"
"2017-06-21 15:20:33","ajp-nio-8889-exec-8 | u:admin","0.145","Render Widget for preview","CAPA/_default/PieChart (null, 13)/Items_By_Status_PieChart/polarion_client2"
